id,user_id,date_logged,total,category_breakdown
b50b84cc-5094-449e-bd21-d35c42a80f4a,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-30 00:00:00+00,0,{}
b7217a24-c5ee-4db2-b9fd-810947e44f62,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-08 00:00:00+00,0,{}
ba7f8c63-a80b-4c78-a4f5-8fa36ad7cc15,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-10-03 00:00:00+00,3.23,"{""travel"":0.065,""lifestyle"":1.52,""food-drink"":0.302,""energy-home"":1.343}"
bd26a133-bb6b-4fc6-8f83-afbf3fdcf9db,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-29 00:00:00+00,0.679359972476959,"{""travel"":0.67936}"
bdbe1ee0-ad5e-4c49-a817-82dd52d001f4,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-14 00:00:00+00,0,{}
be78c1c1-25ae-4fdd-9255-2982442b63a0,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-31 00:00:00+00,0,{}
c3af8f80-27da-4aa3-b38c-5f449a9d058a,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-05 00:00:00+00,0,{}
cdf961ec-edb4-44bb-997e-4af536df3635,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-27 00:00:00+00,0,{}
ceb767e3-e98a-44ba-98f8-0771b7c27cb7,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-16 00:00:00+00,0,{}
d1663270-3d42-4fcb-8009-bbeee39d38b0,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-25 00:00:00+00,0,{}
d19fbff9-29a3-4733-ae5e-4ae52e0eac20,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-19 00:00:00+00,0,{}
da72c3eb-f9c1-4279-beea-347bfdecc63d,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-13 00:00:00+00,4.11999988555908,"{""lifestyle"":4.12}"
db41bc68-1ef8-487d-9c72-30149b79e092,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-25 00:00:00+00,0,{}
e32490e5-b034-4e5c-b2b6-6ce11b7f83ec,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-10-02 00:00:00+00,18.81224,"{""lifestyle"":12.98,""food-drink"":3.162,""energy-home"":2.67024}"
e92f275a-193e-4a8b-84fc-c15dc1e0e14f,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-10-04 00:00:00+00,19.5782203674316,"{""travel"":7.84322,""lifestyle"":5.852,""food-drink"":5.883}"
f2c3d2ab-6139-41eb-a3c0-239aa63fa331,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-11 00:00:00+00,0,{}
f947b8b2-9046-458b-9b7a-d991319fef59,3f12d70d-8b1f-4b2e-9430-a446c6f205c2,2025-10-06 00:00:00+00,0,{}
fb15d681-5665-4e33-b792-bdb55c943551,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-13 00:00:00+00,2.94300007820129,"{""lifestyle"":2.943}"
fc7a8b15-3373-45ef-956d-ac6df87d3ba2,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-18 00:00:00+00,0,{}
fe84eeb7-0612-436c-be32-301e8c7cfab6,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-09-07 00:00:00+00,0,{}
ffd8c167-f49c-4a32-9d38-e8597f05b04b,40fc03d3-21c7-4b2a-9a24-1821cee80c3e,2025-08-15 00:00:00+00,0,{}
